,sid,age,lat,long
191,411,34.0,40.72228087,-73.97668709
192,412,37.0,40.7158155,-73.99422366
193,414,36.0,40.70281858,-73.98765762
194,415,36.0,40.7047177,-74.00926027
195,416,37.0,40.68753406,-73.97265183
196,417,38.0,40.71291224,-74.01020234
197,418,37.0,40.70224,-73.982578
198,419,33.0,40.69580705,-73.97355569
199,420,35.0,40.68764484,-73.96968902
200,421,30.0,40.69573398,-73.97129668
201,422,36.0,40.770513,-73.988038
202,423,36.0,40.76584941,-73.98690506
203,426,37.0,40.71754834,-74.01322069
204,427,38.0,40.701907,-74.013942
205,428,34.0,40.72467721,-73.98783413
206,430,36.0,40.7014851,-73.98656928
207,431,38.0,40.68864636,-73.98263429
208,432,32.0,40.72621788,-73.98379855
209,433,31.0,40.72955361,-73.98057249
210,434,38.0,40.74317449,-74.00366443
211,435,38.0,40.74173969,-73.99415556
212,436,36.0,40.68216564,-73.95399026
213,437,35.0,40.6809833854,-73.9500479759
214,438,32.0,40.72779126,-73.98564945
215,439,33.0,40.7262807,-73.98978041
216,440,38.0,40.75255434,-73.97282625
217,441,34.0,40.756014,-73.967416
218,442,37.0,40.746647,-73.993915
219,443,32.0,40.70853074,-73.96408963
220,444,38.0,40.7423543,-73.98915076
221,445,31.0,40.72740794,-73.98142006
222,446,38.0,40.74487634,-73.99529885
223,447,37.0,40.76370739,-73.9851615
224,448,33.0,40.75660359,-73.9979009
225,449,36.0,40.76461837,-73.98789473
226,450,36.0,40.76227205,-73.98788205
227,453,40.0,40.74475148,-73.99915362
228,454,34.0,40.75455731,-73.96592976
229,455,40.0,40.75001986,-73.96905301
230,456,41.0,40.7597108,-73.97402311
231,457,38.0,40.76695317,-73.98169333
232,458,35.0,40.751396,-74.005226
233,459,37.0,40.746745,-74.007756
234,460,33.0,40.71285887,-73.96590294
235,461,33.0,40.73587678,-73.98205027
236,462,38.0,40.74691959,-74.00451887
237,463,36.0,40.74206539,-74.00443172
238,464,39.0,40.75934501,-73.96759673
239,465,38.0,40.75513557,-73.98658032
240,466,37.0,40.74395411,-73.99144871
241,467,36.0,40.68312489,-73.97895137
242,468,38.0,40.7652654,-73.98192338
243,469,37.0,40.76344058,-73.98268129
244,470,37.0,40.74345335,-74.00004031
245,471,33.0,40.71286844,-73.95698119
246,472,37.0,40.7457121,-73.98194829
247,473,34.0,40.72110063,-73.9919254
248,474,38.0,40.7451677,-73.98683077
249,475,35.0,40.73524276,-73.98758561
250,476,32.0,40.74394314,-73.97966069
251,477,40.0,40.75640548,-73.9900262
252,478,35.0,40.76030096,-73.99884222
253,479,37.0,40.76019252,-73.9912551
